SimTime,NodeID,OldState,NewState
1913489,node-3,VALIDATE_SUBMISSIONS,WAITING_VALIDATE_HASH
1963589,node-1,WAITING_VALIDATE_HASH,VALIDATE_HASH
1963689,node-2,WAITING_VALIDATE_HASH,VALIDATE_HASH
1963789,node-3,WAITING_VALIDATE_HASH,VALIDATE_HASH
1963818,node-4,WAITING_VALIDATE_HASH,VALIDATE_HASH
1963818,node-4,VALIDATE_HASH,COMPLETED
1963861,node-1,VALIDATE_HASH,COMPLETED
1963861,node-2,VALIDATE_HASH,COMPLETED
1963861,node-3,VALIDATE_HASH,COMPLETED
2013961,node-1,COMPLETED,WAITING
2014061,node-2,COMPLETED,WAITING
2014161,node-3,COMPLETED,WAITING
2014218,node-4,COMPLETED,WAITING
2064061,node-1,WAITING,INITIATED
2064261,node-2,WAITING,INITIATED
2064461,node-3,WAITING,INITIATED
2064490,node-4,WAITING,INITIATED
2064490,node-4,INITIATED,WAITING_VALIDATE_SUBMISSIONS
2064533,node-2,INITIATED,WAITING_VALIDATE_SUBMISSIONS
2064533,node-3,INITIATED,WAITING_VALIDATE_SUBMISSIONS
2064533,node-1,INITIATED,WAITING_VALIDATE_SUBMISSIONS
2114633,node-1,WAITING_VALIDATE_SUBMISSIONS,VALIDATE_SUBMISSIONS
2114733,node-2,WAITING_VALIDATE_SUBMISSIONS,VALIDATE_SUBMISSIONS
2114833,node-3,WAITING_VALIDATE_SUBMISSIONS,VALIDATE_SUBMISSIONS
2114862,node-4,WAITING_VALIDATE_SUBMISSIONS,VALIDATE_SUBMISSIONS
2114862,node-4,VALIDATE_SUBMISSIONS,WAITING_VALIDATE_HASH
2114905,node-1,VALIDATE_SUBMISSIONS,WAITING_VALIDATE_HASH
2114905,node-2,VALIDATE_SUBMISSIONS,WAITING_VALIDATE_HASH
2114905,node-3,VALIDATE_SUBMISSIONS,WAITING_VALIDATE_HASH
2165005,node-1,WAITING_VALIDATE_HASH,VALIDATE_HASH
2165105,node-2,WAITING_VALIDATE_HASH,VALIDATE_HASH
2165205,node-3,WAITING_VALIDATE_HASH,VALIDATE_HASH
2165234,node-4,WAITING_VALIDATE_HASH,VALIDATE_HASH
2165234,node-4,VALIDATE_HASH,COMPLETED
2165277,node-1,VALIDATE_HASH,COMPLETED
2165277,node-2,VALIDATE_HASH,COMPLETED
2165277,node-3,VALIDATE_HASH,COMPLETED
