SimTime,EventType,NodeID,Details
1762445,HashReceived,node-3,Received hash from node 4
1762445,HashReceived,node-5,Received hash from node 4
1812273,Timeout,node-1,Node timed out
1812473,Timeout,node-2,Node timed out
1812545,Timeout,node-1,Node timed out
1812545,Initialization,node-1,Node initialized
1812545,Registration,node-1,Registered in epoch 9
1812645,Timeout,node-2,Node timed out
1812645,Initialization,node-2,Node initialized
1812645,Registration,node-2,Registered in epoch 9
1812673,Timeout,node-3,Node timed out
1812745,Timeout,node-3,Node timed out
1812745,Initialization,node-3,Node initialized
1812745,Registration,node-3,Registered in epoch 9
1812802,Timeout,node-4,Node timed out
1812802,Timeout,node-4,Node timed out
1812802,Initialization,node-4,Node initialized
1812802,Registration,node-4,Registered in epoch 9
1862645,Timeout,node-1,Node timed out
1862645,VoteReceived,node-1,Received vote from node 1
1862645,VoteReceived,node-3,Received vote from node 1
1862645,VoteReceived,node-5,Received vote from node 1
1862645,VoteReceived,node-4,Received vote from node 1
1862645,VoteReceived,node-2,Received vote from node 1
1862845,Timeout,node-2,Node timed out
1862845,VoteReceived,node-2,Received vote from node 2
1862859,VoteReceived,node-3,Received vote from node 2
1862859,VoteReceived,node-5,Received vote from node 2
1862859,VoteReceived,node-4,Received vote from node 2
