SimTime,EventType,NodeID,Details
755365,HashReceived,node-3,Received hash from node 4
755450,Timeout,node-5,Node timed out
755450,Timeout,node-5,Node timed out
805193,Timeout,node-1,Node timed out
805393,Timeout,node-2,Node timed out
805465,Timeout,node-1,Node timed out
805465,Initialization,node-1,Node initialized
805465,Registration,node-1,Registered in epoch 4
805565,Timeout,node-2,Node timed out
805565,Initialization,node-2,Node initialized
805565,Registration,node-2,Registered in epoch 4
805593,Timeout,node-3,Node timed out
805665,Timeout,node-3,Node timed out
805665,Initialization,node-3,Node initialized
805665,Registration,node-3,Registered in epoch 4
805722,Timeout,node-4,Node timed out
805722,Timeout,node-4,Node timed out
805722,Initialization,node-4,Node initialized
805722,Registration,node-4,Registered in epoch 4
805822,Timeout,node-5,Node timed out
805822,Timeout,node-5,Node timed out
805822,Registration,node-5,Registered in epoch 4
855565,Timeout,node-1,Node timed out
855565,VoteReceived,node-1,Received vote from node 1
855565,VoteReceived,node-3,Received vote from node 1
855565,VoteReceived,node-5,Received vote from node 1
855565,VoteReceived,node-4,Received vote from node 1
855565,VoteReceived,node-2,Received vote from node 1
855765,Timeout,node-2,Node timed out
855765,VoteReceived,node-2,Received vote from node 2
855779,VoteReceived,node-3,Received vote from node 2
855779,VoteReceived,node-5,Received vote from node 2
855779,VoteReceived,node-4,Received vote from node 2
855779,VoteReceived,node-1,Received vote from node 2
855965,Timeout,node-3,Node timed out
855965,VoteReceived,node-3,Received vote from node 3
855994,VoteReceived,node-2,Received vote from node 3
855994,VoteReceived,node-5,Received vote from node 3
855994,VoteReceived,node-4,Received vote from node 3
855994,VoteReceived,node-1,Received vote from node 3
855994,VoteReceived,node-4,Received vote from node 4
856037,VoteReceived,node-2,Received vote from node 4
856037,VoteReceived,node-3,Received vote from node 4
856037,VoteReceived,node-1,Received vote from node 4
856037,VoteReceived,node-5,Received vote from node 4
856122,Timeout,node-4,Node timed out
905665,Timeout,node-1,Node timed out
905965,Timeout,node-2,Node timed out
906137,Timeout,node-1,Node timed out
906137,SubmissionReceived,node-1,Received submission from node 1
906137,SubmissionReceived,node-2,Received submission from node 1
906137,SubmissionReceived,node-3,Received submission from node 1
906137,SubmissionReceived,node-4,Received submission from node 1
906137,SubmissionReceived,node-5,Received submission from node 1
906237,Timeout,node-2,Node timed out
906237,SubmissionReceived,node-2,Received submission from node 2
906251,SubmissionReceived,node-1,Received submission from node 2
906251,SubmissionReceived,node-3,Received submission from node 2
906251,SubmissionReceived,node-4,Received submission from node 2
906251,SubmissionReceived,node-5,Received submission from node 2
906265,Timeout,node-3,Node timed out
906337,Timeout,node-3,Node timed out
906337,SubmissionReceived,node-3,Received submission from node 3
906366,SubmissionReceived,node-1,Received submission from node 3
906366,SubmissionReceived,node-4,Received submission from node 3
906366,SubmissionReceived,node-5,Received submission from node 3
906366,SubmissionReceived,node-2,Received submission from node 3
906366,SubmissionReceived,node-4,Received submission from node 4
906394,Timeout,node-4,Node timed out
906394,Timeout,node-4,Node timed out
906409,SubmissionReceived,node-1,Received submission from node 4
906409,SubmissionReceived,node-2,Received submission from node 4
906409,SubmissionReceived,node-5,Received submission from node 4
906409,SubmissionReceived,node-3,Received submission from node 4
956237,Timeout,node-1,Node timed out
956437,Timeout,node-2,Node timed out
956509,Timeout,node-1,Node timed out
956509,HashReceived,node-1,Received hash from node 1
956509,HashReceived,node-2,Received hash from node 1
956509,HashReceived,node-4,Received hash from node 1
956509,HashReceived,node-5,Received hash from node 1
956509,HashReceived,node-3,Received hash from node 1
956609,Timeout,node-2,Node timed out
956609,HashReceived,node-2,Received hash from node 2
956623,HashReceived,node-1,Received hash from node 2
956623,HashReceived,node-4,Received hash from node 2
956623,HashReceived,node-5,Received hash from node 2
956623,HashReceived,node-3,Received hash from node 2
956637,Timeout,node-3,Node timed out
956709,Timeout,node-3,Node timed out
956709,HashReceived,node-3,Received hash from node 3
956738,HashReceived,node-2,Received hash from node 3
956738,HashReceived,node-5,Received hash from node 3
956738,HashReceived,node-4,Received hash from node 3
956738,HashReceived,node-1,Received hash from node 3
956738,HashReceived,node-4,Received hash from node 4
956766,Timeout,node-4,Node timed out
956766,Timeout,node-4,Node timed out
956781,HashReceived,node-1,Received hash from node 4
956781,HashReceived,node-2,Received hash from node 4
956781,HashReceived,node-3,Received hash from node 4
956781,HashReceived,node-5,Received hash from node 4
1006609,Timeout,node-1,Node timed out
1006809,Timeout,node-2,Node timed out
1006881,Timeout,node-1,Node timed out
1006881,Initialization,node-1,Node initialized
1006881,Registration,node-1,Registered in epoch 5
1006981,Timeout,node-2,Node timed out
1006981,Initialization,node-2,Node initialized
1006981,Registration,node-2,Registered in epoch 5
1007009,Timeout,node-3,Node timed out
1007081,Timeout,node-3,Node timed out
1007081,Initialization,node-3,Node initialized
1007081,Registration,node-3,Registered in epoch 5
1007138,Timeout,node-4,Node timed out
1007138,Timeout,node-4,Node timed out
1007138,Initialization,node-4,Node initialized
1007138,Registration,node-4,Registered in epoch 5
1056981,Timeout,node-1,Node timed out
1056981,VoteReceived,node-1,Received vote from node 1
1056981,VoteReceived,node-3,Received vote from node 1
1056981,VoteReceived,node-5,Received vote from node 1
1056981,VoteReceived,node-4,Received vote from node 1
1056981,VoteReceived,node-2,Received vote from node 1
1057181,Timeout,node-2,Node timed out
1057181,VoteReceived,node-2,Received vote from node 2
1057195,VoteReceived,node-3,Received vote from node 2
1057195,VoteReceived,node-5,Received vote from node 2
1057195,VoteReceived,node-4,Received vote from node 2
1057195,VoteReceived,node-1,Received vote from node 2
1057381,Timeout,node-3,Node timed out
1057381,VoteReceived,node-3,Received vote from node 3
1057410,VoteReceived,node-2,Received vote from node 3
1057410,VoteReceived,node-5,Received vote from node 3
1057410,VoteReceived,node-4,Received vote from node 3
1057410,VoteReceived,node-1,Received vote from node 3
1057410,VoteReceived,node-4,Received vote from node 4
1057453,VoteReceived,node-2,Received vote from node 4
1057453,VoteReceived,node-3,Received vote from node 4
1057453,VoteReceived,node-1,Received vote from node 4
1057453,VoteReceived,node-5,Received vote from node 4
1057538,Timeout,node-4,Node timed out
1107081,Timeout,node-1,Node timed out
1107381,Timeout,node-2,Node timed out
1107553,Timeout,node-1,Node timed out
1107553,SubmissionReceived,node-1,Received submission from node 1
1107553,SubmissionReceived,node-2,Received submission from node 1
1107553,SubmissionReceived,node-3,Received submission from node 1
1107553,SubmissionReceived,node-4,Received submission from node 1
1107553,SubmissionReceived,node-5,Received submission from node 1
1107653,Timeout,node-2,Node timed out
1107653,SubmissionReceived,node-2,Received submission from node 2
1107667,SubmissionReceived,node-1,Received submission from node 2
1107667,SubmissionReceived,node-3,Received submission from node 2
1107667,SubmissionReceived,node-4,Received submission from node 2
1107667,SubmissionReceived,node-5,Received submission from node 2
1107681,Timeout,node-3,Node timed out
1107753,Timeout,node-3,Node timed out
1107753,SubmissionReceived,node-3,Received submission from node 3
1107782,SubmissionReceived,node-1,Received submission from node 3
1107782,SubmissionReceived,node-4,Received submission from node 3
1107782,SubmissionReceived,node-5,Received submission from node 3
1107782,SubmissionReceived,node-2,Received submission from node 3
1107782,SubmissionReceived,node-4,Received submission from node 4
1107810,Timeout,node-4,Node timed out
1107810,Timeout,node-4,Node timed out
1107825,SubmissionReceived,node-1,Received submission from node 4
1107825,SubmissionReceived,node-2,Received submission from node 4
1107825,SubmissionReceived,node-5,Received submission from node 4
1107825,SubmissionReceived,node-3,Received submission from node 4
1157653,Timeout,node-1,Node timed out
1157853,Timeout,node-2,Node timed out
1157925,Timeout,node-1,Node timed out
1157925,HashReceived,node-1,Received hash from node 1
1157925,HashReceived,node-2,Received hash from node 1
1157925,HashReceived,node-4,Received hash from node 1
1157925,HashReceived,node-5,Received hash from node 1
1157925,HashReceived,node-3,Received hash from node 1
1158025,Timeout,node-2,Node timed out
1158025,HashReceived,node-2,Received hash from node 2
1158039,HashReceived,node-1,Received hash from node 2
1158039,HashReceived,node-4,Received hash from node 2
1158039,HashReceived,node-5,Received hash from node 2
1158039,HashReceived,node-3,Received hash from node 2
1158053,Timeout,node-3,Node timed out
1158125,Timeout,node-3,Node timed out
1158125,HashReceived,node-3,Received hash from node 3
1158154,HashReceived,node-2,Received hash from node 3
1158154,HashReceived,node-5,Received hash from node 3
1158154,HashReceived,node-4,Received hash from node 3
1158154,HashReceived,node-1,Received hash from node 3
1158154,HashReceived,node-4,Received hash from node 4
1158182,Timeout,node-4,Node timed out
1158182,Timeout,node-4,Node timed out
1158197,HashReceived,node-1,Received hash from node 4
1158197,HashReceived,node-2,Received hash from node 4
1158197,HashReceived,node-3,Received hash from node 4
1158197,HashReceived,node-5,Received hash from node 4
1208025,Timeout,node-1,Node timed out
1208225,Timeout,node-2,Node timed out
1208297,Timeout,node-1,Node timed out
1208297,Initialization,node-1,Node initialized
1208297,Registration,node-1,Registered in epoch 6
1208397,Timeout,node-2,Node timed out
1208397,Initialization,node-2,Node initialized
1208397,Registration,node-2,Registered in epoch 6
1208425,Timeout,node-3,Node timed out
1208497,Timeout,node-3,Node timed out
1208497,Initialization,node-3,Node initialized
1208497,Registration,node-3,Registered in epoch 6
1208554,Timeout,node-4,Node timed out
1208554,Timeout,node-4,Node timed out
1208554,Initialization,node-4,Node initialized
1208554,Registration,node-4,Registered in epoch 6
1258397,Timeout,node-1,Node timed out
1258397,VoteReceived,node-1,Received vote from node 1
1258397,VoteReceived,node-3,Received vote from node 1
1258397,VoteReceived,node-5,Received vote from node 1
1258397,VoteReceived,node-4,Received vote from node 1
1258397,VoteReceived,node-2,Received vote from node 1
1258597,Timeout,node-2,Node timed out
1258597,VoteReceived,node-2,Received vote from node 2
1258611,VoteReceived,node-3,Received vote from node 2
1258611,VoteReceived,node-5,Received vote from node 2
1258611,VoteReceived,node-4,Received vote from node 2
1258611,VoteReceived,node-1,Received vote from node 2
1258797,Timeout,node-3,Node timed out
1258797,VoteReceived,node-3,Received vote from node 3
1258826,VoteReceived,node-2,Received vote from node 3
1258826,VoteReceived,node-5,Received vote from node 3
1258826,VoteReceived,node-4,Received vote from node 3
1258826,VoteReceived,node-1,Received vote from node 3
1258826,VoteReceived,node-4,Received vote from node 4
1258869,VoteReceived,node-2,Received vote from node 4
1258869,VoteReceived,node-3,Received vote from node 4
1258869,VoteReceived,node-1,Received vote from node 4
1258869,VoteReceived,node-5,Received vote from node 4
1258954,Timeout,node-4,Node timed out
1308497,Timeout,node-1,Node timed out
1308797,Timeout,node-2,Node timed out
1308969,Timeout,node-1,Node timed out
1308969,SubmissionReceived,node-1,Received submission from node 1
1308969,SubmissionReceived,node-2,Received submission from node 1
1308969,SubmissionReceived,node-3,Received submission from node 1
1308969,SubmissionReceived,node-4,Received submission from node 1
1308969,SubmissionReceived,node-5,Received submission from node 1
1309069,Timeout,node-2,Node timed out
1309069,SubmissionReceived,node-2,Received submission from node 2
1309083,SubmissionReceived,node-1,Received submission from node 2
1309083,SubmissionReceived,node-3,Received submission from node 2
1309083,SubmissionReceived,node-4,Received submission from node 2
1309083,SubmissionReceived,node-5,Received submission from node 2
1309097,Timeout,node-3,Node timed out
1309169,Timeout,node-3,Node timed out
1309169,SubmissionReceived,node-3,Received submission from node 3
1309198,SubmissionReceived,node-1,Received submission from node 3
1309198,SubmissionReceived,node-4,Received submission from node 3
1309198,SubmissionReceived,node-5,Received submission from node 3
1309198,SubmissionReceived,node-2,Received submission from node 3
1309198,SubmissionReceived,node-4,Received submission from node 4
1309226,Timeout,node-4,Node timed out
1309226,Timeout,node-4,Node timed out
1309241,SubmissionReceived,node-1,Received submission from node 4
1309241,SubmissionReceived,node-2,Received submission from node 4
1309241,SubmissionReceived,node-5,Received submission from node 4
1309241,SubmissionReceived,node-3,Received submission from node 4
1359069,Timeout,node-1,Node timed out
1359269,Timeout,node-2,Node timed out
1359341,Timeout,node-1,Node timed out
1359341,HashReceived,node-1,Received hash from node 1
1359341,HashReceived,node-2,Received hash from node 1
1359341,HashReceived,node-4,Received hash from node 1
1359341,HashReceived,node-5,Received hash from node 1
1359341,HashReceived,node-3,Received hash from node 1
1359441,Timeout,node-2,Node timed out
1359441,HashReceived,node-2,Received hash from node 2
1359455,HashReceived,node-1,Received hash from node 2
1359455,HashReceived,node-4,Received hash from node 2
1359455,HashReceived,node-5,Received hash from node 2
1359455,HashReceived,node-3,Received hash from node 2
1359469,Timeout,node-3,Node timed out
1359541,Timeout,node-3,Node timed out
1359541,HashReceived,node-3,Received hash from node 3
1359570,HashReceived,node-2,Received hash from node 3
1359570,HashReceived,node-5,Received hash from node 3
1359570,HashReceived,node-4,Received hash from node 3
1359570,HashReceived,node-1,Received hash from node 3
1359570,HashReceived,node-4,Received hash from node 4
1359598,Timeout,node-4,Node timed out
1359598,Timeout,node-4,Node timed out
1359613,HashReceived,node-1,Received hash from node 4
1359613,HashReceived,node-2,Received hash from node 4
1359613,HashReceived,node-3,Received hash from node 4
1359613,HashReceived,node-5,Received hash from node 4
1409441,Timeout,node-1,Node timed out
1409641,Timeout,node-2,Node timed out
1409713,Timeout,node-1,Node timed out
1409713,Initialization,node-1,Node initialized
1409713,Registration,node-1,Registered in epoch 7
1409813,Timeout,node-2,Node timed out
1409813,Initialization,node-2,Node initialized
1409813,Registration,node-2,Registered in epoch 7
1409841,Timeout,node-3,Node timed out
1409913,Timeout,node-3,Node timed out
1409913,Initialization,node-3,Node initialized
1409913,Registration,node-3,Registered in epoch 7
1409970,Timeout,node-4,Node timed out
1409970,Timeout,node-4,Node timed out
1409970,Initialization,node-4,Node initialized
1409970,Registration,node-4,Registered in epoch 7
1459813,Timeout,node-1,Node timed out
1459813,VoteReceived,node-1,Received vote from node 1
1459813,VoteReceived,node-3,Received vote from node 1
1459813,VoteReceived,node-5,Received vote from node 1
1459813,VoteReceived,node-4,Received vote from node 1
1459813,VoteReceived,node-2,Received vote from node 1
1460013,Timeout,node-2,Node timed out
1460013,VoteReceived,node-2,Received vote from node 2
1460027,VoteReceived,node-3,Received vote from node 2
1460027,VoteReceived,node-5,Received vote from node 2
1460027,VoteReceived,node-4,Received vote from node 2
1460027,VoteReceived,node-1,Received vote from node 2
1460213,Timeout,node-3,Node timed out
1460213,VoteReceived,node-3,Received vote from node 3
1460242,VoteReceived,node-2,Received vote from node 3
1460242,VoteReceived,node-5,Received vote from node 3
1460242,VoteReceived,node-4,Received vote from node 3
1460242,VoteReceived,node-1,Received vote from node 3
1460242,VoteReceived,node-4,Received vote from node 4
1460285,VoteReceived,node-2,Received vote from node 4
1460285,VoteReceived,node-3,Received vote from node 4
1460285,VoteReceived,node-1,Received vote from node 4
1460285,VoteReceived,node-5,Received vote from node 4
1460370,Timeout,node-4,Node timed out
1509913,Timeout,node-1,Node timed out
1510213,Timeout,node-2,Node timed out
1510385,Timeout,node-1,Node timed out
1510385,SubmissionReceived,node-1,Received submission from node 1
1510385,SubmissionReceived,node-2,Received submission from node 1
1510385,SubmissionReceived,node-3,Received submission from node 1
1510385,SubmissionReceived,node-4,Received submission from node 1
1510385,SubmissionReceived,node-5,Received submission from node 1
